iid,pid,match,femaleMatch,maleMatch,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
21,40,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,41,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,42,0,1,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,43,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,44,0,0,1,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,45,0,0,1,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,46,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,47,0,0,1,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,48,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,49,0,1,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,50,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,51,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,52,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,53,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,54,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
21,55,0,0,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
22,40,0,0,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,41,0,0,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,42,0,0,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,43,0,0,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,44,1,1,1,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,45,1,1,1,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,46,0,1,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,47,0,0,1,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,48,0,1,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,49,0,0,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,50,0,1,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,51,0,0,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,52,0,0,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,53,0,1,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,54,0,0,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
22,55,0,1,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
23,40,0,1,0,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,41,0,0,0,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,42,0,1,0,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,43,1,1,1,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,44,1,1,1,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,45,1,1,1,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,46,0,1,0,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,47,0,0,1,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,48,0,0,0,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,49,0,1,0,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
23,50,0,1,0,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
