iid,pid,match,femaleMatch,maleMatch,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
40,21,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,22,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,23,0,1,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,24,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,25,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,26,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,27,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,28,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,29,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,30,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,31,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,32,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,33,0,1,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,34,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,35,0,1,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,36,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,37,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,38,0,0,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
40,39,0,1,0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
41,21,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,22,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,23,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,24,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,25,0,0,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,26,0,0,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,27,0,0,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,28,0,0,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,29,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,30,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,31,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,32,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,33,0,0,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,34,0,0,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,35,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,36,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,37,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,38,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
41,39,0,0,0,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
42,21,0,1,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,22,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,23,0,1,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,24,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,25,0,0,1,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,26,0,0,1,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,27,0,0,1,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,28,0,0,1,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,29,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,30,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,31,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,32,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,33,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,34,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,35,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,36,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,37,0,1,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,38,0,0,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
42,39,0,1,0,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
43,21,0,0,0,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1
