Interest,Same (variance of 0),Similar (variance of 1-3)
sports,0.125615764,0.497536946
tvsports,0.118226601,0.472906404
exercise,0.118226601,0.57635468
dining,0.206896552,0.642857143
museums,0.115763547,0.647783251
art,0.137931034,0.583743842
hiking,0.100985222,0.522167488
gaming,0.123152709,0.5591133
clubbing,0.15270936,0.549261084
reading,0.184729064,0.672413793
tv,0.110837438,0.593596059
theater,0.123152709,0.615763547
movies,0.147783251,0.689655172
concerts,0.137931034,0.566502463
music,0.160098522,0.650246305
shopping,0.098522167,0.539408867
yoga,0.10591133,0.485221675
